Year,Population
1990,5327231061
1991,5414289444
1992,5498919809
1993,5581597546
1994,5663150427
1995,5744212979
1996,5824891951
1997,5905045788
1998,5984793942
1999,6064239055
2000,6143494000
2001,6222627000
2002,6301773000
2003,6381185000
2004,6461159000
2005,6541907000
2006,6623518000
2007,6705947000
2008,6789089000
2009,6872767000
2010,6956824000
2011,7041194000
2012,7125828000
2013,7210582000
2014,7295291000
2015,7379797000
2016,7464022000
2017,7547859000
2018,7631091000
2019,7713468000
2020,7795000000
